"rain" "evaporation" "flow"
"350" 0.0849 2.7498 1.1196321
"351" 1.2091 3.744 0.71546099
"352" 1.7516 2.7067 0.56483599
"353" 9.9097 2.4239 0.52718085
"354" 3.4504 2.976 0.56483599
"355" 0 4.8473 0.56483599
"356" 4.5572 2.0491 0.50835106
"357" 0 1.1417 0.48952571
"358" 0.7725 5.3319 0.46693262
"359" 0 4.7245 0.40667996
"360" 0 3.9276 0.37279255
"361" 0 4.7737 0.35019947
"362" 0 2.0261 0.33388298
"363" 1.6049 3.5158 0.32132979
"364" 0 4.9867 0.31630762
"365" 0 4.6904 0.30124557
"366" 1.1398 1.6335 0.2987367
"367" 3.7437 0.721 0.2987367
"368" 3.577 0.8107 0.32132979
"369" 0.8236 0.8298 0.34643174
"370" 6.3592 2.2016 0.35019947
"371" 0 3.681 0.38157801
"372" 0 2.2945 0.36400709
"373" 0 0.6333 0.33513741
"374" 0.5709 1.7822 0.32635195
"375" 0 3.5168 0.32383865
"376" 0 3.6179 0.31003103
"377" 0 2.2279 0.2987367
"378" 1.6023 1.1427 0.29371454
"379" 1.2897 1.9946 0.4594016
"380" 23.2461 0.5109 0.42676418
"381" 0 1.2737 0.68533688
"382" 2.0488 3.7171 0.57864362
"383" 0 1.2245 0.4594016
"384" 0 3.6153 0.37279255
"385" 0 2.685 0.33513741
"386" 0 1.784 0.31505319
"387" 0 1.9785 0.30124557
"388" 0 3.0958 0.2962234
"389" 0 2.3368 0.29120567
"390" 16.1763 0.5995 0.28367465
"391" 0 2.506 0.2962234
"392" 0 3.0744 0.35019947
"393" 0 0.474 0.34141401
"394" 1.7003 0.8562 0.32635195
"395" 20.4304 0.7359 0.31505319
"396" 4.4452 0.4828 0.38157801
"397" 0 2.7 0.52718085
"398" 0 3.023 0.52718085
"399" 0 2.8881 0.4594016
"400" 0 2.5684 0.39664007
"401" 0 2.9356 0.34643174
"402" 0 2.4996 0.32132979
"403" 0 2.502 0.30124557
"404" 0 2.2156 0.29371454
"405" 0 2.7204 0.28869238
"406" 0 2.0276 0.28618351
"407" 0 2.5588 0.27739805
"408" 2.2644 0.7525 0.27488918
"409" 0.2009 2.0937 0.27237589
"410" 0 2.4412 0.27237589
"411" 0 2.6813 0.26735372
"412" 0 2.8687 0.25480496
"413" 0 2.5914 0.24727394
"414" 0 2.182 0.23974291
"415" 0 2.5112 0.23346631
"416" 0 2.6372 0.23346631
"417" 0 3.2901 0.22844415
"418" 0 1.6062 0.21589096
"419" 0 0.7635 0.21212766
"420" 1.8243 1.1616 0.21212766
"421" 0 3.1547 0.21463652
"422" 0.6549 2.5626 0.22091312
"423" 0 1.4263 0.23095745
"424" 0 1.4461 0.23472074
"425" 0 1.5936 0.23974291
"426" 0 3.1942 0.24476064
"427" 0 2.2065 0.24727394
"428" 0.2834 1.0913 0.25229167
"429" 0.1889 1.9633 0.25731383
"430" 4.9071 0.7022 0.26233599
"431" 0 1.734 0.27237589
"432" 2.2622 1.0739 0.27990691
"433" 4.4903 0.7101 0.30752216
"434" 0 1.6107 0.33513741
"435" 4.7252 1.0208 0.33513741
